,name,x1,x2,y1,y2,classname,face_no_mask,face_other_covering,face_with_mask,face_with_mask_incorrect
12232,4174.png,318,87,448,238,face_with_mask,0,0,1,0
3490,4775.png,381,47,448,133,face_with_mask,0,0,1,0
6312,3698.png,599,143,680,243,face_with_mask,0,0,1,0
10657,6217.jpg,94,91,223,266,face_no_mask,1,0,0,0
6580,1914.jpg,503,150,562,212,face_no_mask,1,0,0,0
8326,4099.png,300,122,472,360,face_other_covering,0,1,0,1
13862,5949.jpg,187,143,253,216,face_no_mask,1,0,0,0
3986,6006.jpg,11,172,209,369,face_no_mask,1,0,0,0
8707,6166.png,244,27,701,557,face_no_mask,1,0,0,0
6631,4728.png,455,174,490,222,face_with_mask,0,0,1,0
8248,4555.png,322,5,756,646,face_with_mask,0,0,1,0
10685,5276.jpg,339,79,684,521,face_with_mask,0,0,1,0
13894,2896.png,61,40,175,183,face_with_mask,0,0,1,0
2599,1977.jpg,470,113,884,572,face_no_mask,1,0,0,0
3074,4482.png,3,8,429,580,face_with_mask,0,0,1,0
12326,5435.jpg,180,127,553,693,face_with_mask,0,0,1,0
13741,3208.png,80,50,347,418,face_with_mask,0,0,1,0
10604,3268.png,530,101,594,177,face_with_mask,0,0,1,0
513,1952.jpg,701,96,944,362,face_other_covering,0,1,0,1
6716,5572.jpg,438,17,580,182,face_other_covering,0,1,0,1
2183,6175.jpg,610,162,653,226,face_no_mask,1,0,0,0
10895,6400.jpg,646,100,772,256,face_with_mask,0,0,1,0
7060,2008.jpg,433,267,455,292,face_no_mask,1,0,0,0
7853,6391.jpg,107,9,266,252,face_with_mask_incorrect,0,0,0,1
1997,5360.jpg,205,322,532,640,face_other_covering,0,1,0,1
2555,5556.jpg,1324,456,1458,613,face_no_mask,1,0,0,0
1844,4793.png,78,9,347,334,face_no_mask,1,0,0,0
2409,5398.jpg,390,251,490,392,face_other_covering,0,1,0,1
558,3797.png,58,5,349,323,face_with_mask,0,0,1,0
3418,5790.jpg,361,41,561,302,face_no_mask,1,0,0,0
6452,3716.png,264,34,682,557,face_with_mask,0,0,1,0
4090,3342.png,78,5,528,606,face_with_mask,0,0,1,0
14906,3302.png,246,49,433,308,face_with_mask,0,0,1,0
8392,2974.png,190,5,668,574,face_with_mask,0,0,1,0
3180,3502.png,319,127,396,233,face_with_mask,0,0,1,0
6141,4207.png,290,43,342,118,face_with_mask,0,0,1,0
2965,5707.jpg,180,303,1482,2354,face_no_mask,1,0,0,0
877,4262.png,317,11,583,325,face_with_mask,0,0,1,0
12936,2819.png,270,51,440,358,face_other_covering,0,1,0,1
13827,2945.png,65,7,279,256,face_with_mask,0,0,1,0
6908,3948.png,381,69,441,151,face_with_mask,0,0,1,0
7180,3353.png,674,138,720,216,face_no_mask,1,0,0,0
1751,4338.png,167,19,493,439,face_with_mask,0,0,1,0
10315,5634.jpg,348,39,431,131,face_no_mask,1,0,0,0
3918,2257.png,91,43,543,564,face_with_mask,0,0,1,0
12770,5160.jpg,579,136,656,230,face_with_mask,0,0,1,0
14021,5275.jpg,425,0,733,405,face_no_mask,1,0,0,0
8568,2963.png,589,42,681,146,face_with_mask,0,0,1,0
2488,2406.png,192,445,280,546,face_with_mask,0,0,1,0
9191,2336.png,212,5,429,285,face_with_mask,0,0,1,0
2323,2121.jpg,183,28,358,261,face_with_mask,0,0,1,0
3389,5358.jpg,306,594,540,884,face_other_covering,0,1,0,1
2942,4208.png,318,9,367,64,face_with_mask,0,0,1,0
7879,6261.jpg,170,147,794,670,face_no_mask,1,0,0,0
3297,2550.png,542,3,581,58,face_with_mask,0,0,1,0
15405,2460.png,650,5,805,184,face_no_mask,1,0,0,0
14901,3406.png,353,147,411,212,face_with_mask,0,0,1,0
2852,2175.png,255,17,601,485,face_with_mask,0,0,1,0
14973,4924.png,29,11,283,382,face_with_mask,0,0,1,0
5561,4645.png,323,79,375,148,face_no_mask,1,0,0,0
14918,3755.png,90,69,489,595,face_with_mask,0,0,1,0
1649,1838.jpg,403,80,482,175,face_with_mask,0,0,1,0
11143,5733.jpg,459,79,644,339,face_with_mask,0,0,1,0
5903,2276.png,243,152,480,488,face_with_mask_incorrect,0,0,0,1
9004,2536.png,365,82,467,237,face_with_mask,0,0,1,0
14470,6068.jpg,251,41,347,157,face_other_covering,0,1,0,1
10549,5136.jpg,212,17,428,307,face_with_mask,0,0,1,0
9136,3004.png,453,24,674,258,face_with_mask,0,0,1,0
160,5309.jpg,446,225,569,370,face_other_covering,0,1,0,1
6973,4824.png,598,155,691,292,face_with_mask,0,0,1,0
9044,2254.png,108,14,400,461,face_with_mask,0,0,1,0
6920,2306.png,158,48,576,606,face_other_covering,0,1,0,1
13953,2706.png,150,9,593,615,face_other_covering,0,1,0,1
8085,3421.png,386,163,513,319,face_with_mask,0,0,1,0
10622,1847.jpg,285,108,381,209,face_with_mask,0,0,1,0
13989,4510.png,117,152,396,407,face_with_mask,0,0,1,0
6660,4580.png,185,47,248,135,face_with_mask,0,0,1,0
4443,3811.png,429,115,467,171,face_with_mask,0,0,1,0
8537,5335.jpg,465,82,554,192,face_other_covering,0,1,0,1
8520,5251.jpg,371,37,455,164,face_with_mask,0,0,1,0
2511,2049.jpg,839,611,1994,2139,face_with_mask,0,0,1,0
3063,5032.jpg,541,22,841,411,face_with_mask_incorrect,0,0,0,1
3759,6229.jpg,402,108,758,562,face_no_mask,1,0,0,0
8757,5871.jpg,508,11,622,144,face_other_covering,0,1,0,1
5854,3322.png,189,6,504,434,face_with_mask,0,0,1,0
4355,3934.png,952,179,1033,261,face_other_covering,0,1,0,1
10353,5684.jpg,47,111,187,270,face_with_mask,0,0,1,0
3600,5224.jpg,3,16,1187,1518,face_with_mask,0,0,1,0
450,3225.png,25,19,331,423,face_with_mask,0,0,1,0
12211,4497.png,348,201,408,278,face_with_mask,0,0,1,0
13706,3038.png,366,22,612,356,face_with_mask,0,0,1,0
7750,2666.png,218,453,267,518,face_with_mask,0,0,1,0
2536,3435.png,85,0,390,466,face_with_mask,0,0,1,0
13976,2689.png,7,139,48,184,face_with_mask,0,0,1,0
10940,3549.png,1049,188,1090,248,face_with_mask,0,0,1,0
10755,4013.png,588,96,655,195,face_with_mask,0,0,1,0
4663,4049.png,439,51,600,261,face_with_mask,0,0,1,0
14513,2568.png,46,3,320,343,face_other_covering,0,1,0,1
12664,3938.png,483,88,646,306,face_with_mask,0,0,1,0
7318,3762.png,98,19,415,450,face_other_covering,0,1,0,1
4257,5339.jpg,341,127,414,207,face_other_covering,0,1,0,1
8022,2373.png,214,202,235,229,face_no_mask,1,0,0,0
11996,2086.jpg,307,72,459,275,face_with_mask,0,0,1,0
13675,4525.png,372,16,502,180,face_with_mask,0,0,1,0
10500,3025.png,302,29,465,228,face_no_mask,1,0,0,0
14099,3303.png,281,175,323,225,face_with_mask,0,0,1,0
14626,2326.png,115,12,487,442,face_with_mask,0,0,1,0
13312,3941.png,103,130,310,452,face_with_mask,0,0,1,0
7850,3641.png,224,75,336,200,face_other_covering,0,1,0,1
11838,2678.png,504,251,608,371,face_with_mask,0,0,1,0
7359,5478.jpg,354,223,712,603,face_other_covering,0,1,0,1
15378,4915.png,65,216,439,719,face_with_mask,0,0,1,0
5481,5727.jpg,639,21,901,399,face_other_covering,0,1,0,1
11088,5718.jpg,757,336,2451,1952,face_other_covering,0,1,0,1
3007,6192.jpg,977,380,1340,889,face_other_covering,0,1,0,1
15050,4232.png,354,28,600,365,face_with_mask,0,0,1,0
13682,4564.png,456,82,587,244,face_with_mask,0,0,1,0
2480,6101.jpg,624,45,829,335,face_other_covering,0,1,0,1
9534,5137.jpg,1089,31,1419,491,face_with_mask,0,0,1,0
1776,5157.jpg,271,17,559,436,face_with_mask,0,0,1,0
13604,6287.jpg,723,172,793,253,face_no_mask,1,0,0,0
4777,6241.jpg,308,175,361,240,face_no_mask,1,0,0,0
15260,3740.png,104,39,170,131,face_with_mask,0,0,1,0
8928,4566.png,0,206,207,650,face_with_mask,0,0,1,0
7067,4195.png,681,321,740,380,face_other_covering,0,1,0,1
9127,5017.jpg,227,10,673,650,face_with_mask,0,0,1,0
5994,2966.png,333,4,550,270,face_no_mask,1,0,0,0
11502,2591.png,278,49,425,285,face_with_mask,0,0,1,0
7020,5135.png,127,39,177,107,face_with_mask,0,0,1,0
1157,3633.png,159,49,339,288,face_other_covering,0,1,0,1
8149,6054.png,13,62,155,191,face_no_mask,1,0,0,0
3384,2549.png,133,109,259,249,face_with_mask,0,0,1,0
9150,2815.png,115,53,429,441,face_other_covering,0,1,0,1
4770,1852.jpg,543,334,812,672,face_no_mask,1,0,0,0
2576,3363.png,406,10,648,249,face_with_mask,0,0,1,0
12360,6383.jpg,830,263,1178,785,face_no_mask,1,0,0,0
8814,2195.png,418,89,719,608,face_with_mask,0,0,1,0
8658,5104.jpg,463,26,559,123,face_no_mask,1,0,0,0
14361,3640.png,151,158,292,361,face_with_mask,0,0,1,0
8302,4906.png,270,110,471,431,face_with_mask,0,0,1,0
14688,6108.jpg,414,161,611,383,face_other_covering,0,1,0,1
12180,4788.png,37,26,391,478,face_other_covering,0,1,0,1
14877,4333.png,144,9,512,510,face_with_mask,0,0,1,0
4877,5571.jpg,471,145,638,380,face_other_covering,0,1,0,1
8361,3048.png,158,39,570,582,face_with_mask,0,0,1,0
8965,3297.png,438,393,627,595,face_with_mask,0,0,1,0
10706,2943.png,261,79,345,152,face_with_mask,0,0,1,0
13667,2915.png,377,288,405,324,face_with_mask,0,0,1,0
11270,3051.png,82,4,477,505,face_with_mask,0,0,1,0
9580,2000.jpg,0,0,118,316,face_with_mask,0,0,1,0
5949,2070.jpg,306,180,610,561,face_with_mask,0,0,1,0
7304,4074.png,253,30,293,81,face_with_mask,0,0,1,0
789,5303.jpg,204,136,665,726,face_no_mask,1,0,0,0
14679,4272.png,356,72,485,233,face_with_mask,0,0,1,0
350,3121.png,233,21,429,264,face_with_mask,0,0,1,0
6582,1914.jpg,299,177,380,255,face_with_mask,0,0,1,0
13231,4096.png,110,2,198,133,face_with_mask,0,0,1,0
3877,2780.png,99,72,155,161,face_no_mask,1,0,0,0
5381,1978.jpg,709,36,871,235,face_with_mask,0,0,1,0
4832,2504.png,339,165,533,321,face_with_mask,0,0,1,0
3025,5587.jpg,425,182,649,444,face_no_mask,1,0,0,0
2371,2592.png,4,0,835,625,face_with_mask,0,0,1,0
5988,3902.png,485,164,599,285,face_with_mask,0,0,1,0
12191,3454.png,120,25,636,600,face_with_mask,0,0,1,0
5750,1897.jpg,645,3,1002,346,face_with_mask,0,0,1,0
3566,5162.jpg,557,32,616,91,face_with_mask,0,0,1,0
14215,3854.png,259,187,321,257,face_with_mask,0,0,1,0
9571,3951.png,135,19,653,585,face_with_mask,0,0,1,0
3760,3481.png,347,258,417,331,face_other_covering,0,1,0,1
119,4921.png,552,169,809,468,face_with_mask,0,0,1,0
10293,5834.jpg,81,68,177,204,face_no_mask,1,0,0,0
975,4325.png,301,87,341,150,face_with_mask,0,0,1,0
1982,5672.jpg,77,122,226,344,face_no_mask,1,0,0,0
5554,1989.jpg,128,30,237,183,face_no_mask,1,0,0,0
3305,3899.png,754,67,835,181,face_with_mask,0,0,1,0
12113,5156.jpg,214,96,626,585,face_with_mask,0,0,1,0
10008,4561.png,765,125,857,248,face_with_mask,0,0,1,0
14649,4211.png,246,106,367,255,face_with_mask,0,0,1,0
1493,3509.png,107,142,254,284,face_with_mask,0,0,1,0
9523,4897.png,263,41,349,172,face_with_mask,0,0,1,0
10122,6100.jpg,1923,502,2149,740,face_no_mask,1,0,0,0
10749,4013.png,855,87,901,140,face_with_mask,0,0,1,0
3380,5743.jpg,277,256,334,332,face_no_mask,1,0,0,0
12812,1810.jpg,773,228,863,338,face_with_mask,0,0,1,0
14594,3007.png,124,39,210,149,face_no_mask,1,0,0,0
9265,2425.png,341,6,553,220,face_with_mask,0,0,1,0
13195,2285.png,729,21,978,259,face_other_covering,0,1,0,1
11199,3857.png,273,5,392,170,face_with_mask,0,0,1,0
13644,5665.jpg,374,5,471,105,face_no_mask,1,0,0,0
9090,5956.jpg,188,72,301,208,face_no_mask,1,0,0,0
5405,6038.jpg,476,4,532,88,face_no_mask,1,0,0,0
2137,2312.png,93,60,340,259,face_other_covering,0,1,0,1
7929,3407.png,185,108,232,169,face_with_mask,0,0,1,0
4667,5328.jpg,462,60,630,288,face_other_covering,0,1,0,1
6579,1914.jpg,34,37,110,143,face_with_mask,0,0,1,0
4183,3864.png,375,351,425,417,face_with_mask,0,0,1,0
14562,5529.png,167,8,413,328,face_no_mask,1,0,0,0
13276,3008.png,471,35,532,109,face_with_mask,0,0,1,0
8612,3980.png,59,212,118,273,face_no_mask,1,0,0,0
5292,5714.jpg,827,285,2133,1959,face_with_mask,0,0,1,0
6746,4285.png,109,8,675,538,face_with_mask,0,0,1,0
9135,5575.jpg,777,3,1642,1006,face_no_mask,1,0,0,0
729,5155.jpg,783,64,953,261,face_with_mask,0,0,1,0
2588,3290.png,267,122,346,218,face_other_covering,0,1,0,1
14929,4173.png,0,6,171,372,face_with_mask,0,0,1,0
2940,2092.jpg,588,49,633,113,face_with_mask,0,0,1,0
469,5462.jpg,197,54,282,175,face_no_mask,1,0,0,0
2611,5511.jpg,289,0,520,326,face_other_covering,0,1,0,1
3586,4660.png,359,13,413,100,face_with_mask,0,0,1,0
3483,2822.png,124,52,298,282,face_other_covering,0,1,0,1
1286,4686.png,182,0,541,547,face_with_mask,0,0,1,0
10434,4698.png,231,106,348,258,face_with_mask,0,0,1,0
3967,3037.png,330,93,433,228,face_no_mask,1,0,0,0
14640,3345.png,190,70,561,462,face_with_mask,0,0,1,0
4839,2615.png,8,31,223,308,face_with_mask,0,0,1,0
274,5931.jpg,477,95,518,148,face_no_mask,1,0,0,0
13617,5999.jpg,765,248,1009,582,face_no_mask,1,0,0,0
13488,5459.jpeg,96,97,505,623,face_no_mask,1,0,0,0
5354,6073.jpg,241,251,587,620,face_other_covering,0,1,0,1
7468,6286.jpg,89,115,206,258,face_no_mask,1,0,0,0
15322,3305.png,227,1,653,609,face_other_covering,0,1,0,1
12439,6200.jpg,658,30,806,227,face_no_mask,1,0,0,0
13771,2737.png,311,207,410,304,face_with_mask,0,0,1,0
7447,5542.jpg,479,72,792,499,face_other_covering,0,1,0,1
823,3514.png,171,103,381,306,face_with_mask,0,0,1,0
3518,4051.png,137,64,380,367,face_with_mask,0,0,1,0
15136,3591.png,29,130,178,340,face_with_mask,0,0,1,0
1126,3727.png,208,91,268,180,face_with_mask,0,0,1,0
12679,4215.png,415,158,452,205,face_with_mask,0,0,1,0
11156,2580.png,142,19,288,194,face_with_mask,0,0,1,0
4564,2998.png,647,330,684,374,face_with_mask,0,0,1,0
5902,1957.jpg,106,119,483,604,face_no_mask,1,0,0,0
2685,3212.png,452,196,530,292,face_other_covering,0,1,0,1
12846,2798.png,112,40,501,438,face_with_mask,0,0,1,0
10411,2355.png,59,116,130,211,face_with_mask,0,0,1,0
9811,3881.png,38,5,482,555,face_with_mask,0,0,1,0
2231,3184.png,244,87,458,310,face_with_mask,0,0,1,0
4767,5244.jpg,502,100,569,187,face_other_covering,0,1,0,1
4048,2042.jpg,214,70,614,526,face_with_mask,0,0,1,0
13404,4247.png,208,118,373,369,face_with_mask,0,0,1,0
11797,3138.png,124,229,285,404,face_with_mask,0,0,1,0
9281,4323.png,483,22,562,111,face_with_mask,0,0,1,0
9448,3023.png,129,136,198,222,face_with_mask,0,0,1,0
13050,5060.jpg,103,318,410,768,face_with_mask,0,0,1,0
7383,1940.jpg,913,231,1115,494,face_no_mask,1,0,0,0
5920,4736.png,9,31,58,103,face_with_mask,0,0,1,0
14319,6288.jpg,303,127,341,178,face_no_mask,1,0,0,0
10363,4821.png,525,9,676,207,face_with_mask,0,0,1,0
2886,4653.png,216,119,249,170,face_no_mask,1,0,0,0
10104,4656.png,951,175,1152,400,face_with_mask,0,0,1,0
9394,2528.png,91,129,251,305,face_other_covering,0,1,0,1
23,4070.png,154,15,493,485,face_with_mask,0,0,1,0
7721,3670.png,312,29,523,305,face_with_mask,0,0,1,0
156,5820.jpg,124,41,257,189,face_no_mask,1,0,0,0
11422,4808.png,526,107,583,174,face_with_mask,0,0,1,0
860,5674.jpg,2349,1110,2882,1843,face_other_covering,0,1,0,1
11342,4943.png,104,246,254,443,face_with_mask,0,0,1,0
12964,2864.png,260,5,424,173,face_with_mask,0,0,1,0
6673,5426.jpg,152,174,558,693,face_with_mask,0,0,1,0
9961,3218.png,172,1,495,414,face_with_mask,0,0,1,0
4507,2563.png,66,92,206,263,face_with_mask,0,0,1,0
3885,6061.jpg,233,3,562,402,face_no_mask,1,0,0,0
11846,2678.png,787,261,822,318,face_no_mask,1,0,0,0
95,4356.png,599,201,647,269,face_with_mask,0,0,1,0
13550,6433.png,765,142,976,364,face_with_mask,0,0,1,0
3119,2422.png,28,9,57,39,face_with_mask,0,0,1,0
10618,5502.jpg,135,119,272,326,face_no_mask,1,0,0,0
8412,1808.jpg,3,650,338,1374,face_no_mask,1,0,0,0
7010,5963.jpg,558,145,675,300,face_no_mask,1,0,0,0
11258,4685.png,83,105,341,434,face_with_mask,0,0,1,0
7158,3479.png,194,0,510,426,face_with_mask,0,0,1,0
12449,3365.png,172,17,222,71,face_other_covering,0,1,0,1
12490,4851.png,468,151,550,245,face_with_mask,0,0,1,0
3330,5929.jpg,364,3,706,439,face_no_mask,1,0,0,0
11647,3346.png,177,40,518,507,face_other_covering,0,1,0,1
339,6102.jpg,171,68,293,225,face_no_mask,1,0,0,0
4326,4035.png,124,0,467,358,face_with_mask,0,0,1,0
10694,2208.png,31,21,353,401,face_other_covering,0,1,0,1
9906,2996.png,327,94,410,233,face_with_mask,0,0,1,0
13092,3308.png,177,107,209,151,face_with_mask,0,0,1,0
3149,6170.jpg,419,35,845,589,face_no_mask,1,0,0,0
4636,6228.jpg,563,332,641,411,face_no_mask,1,0,0,0
14456,4890.png,0,29,431,573,face_other_covering,0,1,0,1
12601,5013.jpg,854,154,910,250,face_with_mask,0,0,1,0
2495,2261.png,463,82,622,299,face_with_mask,0,0,1,0
13626,4050.png,635,234,675,297,face_with_mask,0,0,1,0
1948,4677.png,297,16,359,103,face_with_mask,0,0,1,0
14707,3021.png,308,35,395,163,face_with_mask,0,0,1,0
10118,2394.png,98,192,162,268,face_with_mask,0,0,1,0
14823,1970.jpg,229,143,293,227,face_other_covering,0,1,0,1
9218,5998.jpg,263,39,358,164,face_other_covering,0,1,0,1
13176,3856.png,466,68,627,233,face_with_mask,0,0,1,0
6679,4425.png,79,10,483,476,face_other_covering,0,1,0,1
12599,2120.jpg,284,382,570,611,face_other_covering,0,1,0,1
8571,2963.png,34,47,124,150,face_with_mask,0,0,1,0
6574,4541.png,89,10,495,496,face_with_mask,0,0,1,0
11032,5619.jpg,63,35,132,137,face_with_mask,0,0,1,0
5548,1989.jpg,461,184,585,325,face_with_mask,0,0,1,0
9839,4532.png,250,235,288,276,face_with_mask,0,0,1,0
1886,5515.jpg,228,415,670,829,face_other_covering,0,1,0,1
2707,4988.png,131,104,483,563,face_with_mask,0,0,1,0
8627,3301.png,521,200,626,334,face_with_mask,0,0,1,0
8874,2871.png,151,78,200,145,face_with_mask,0,0,1,0
3776,4018.png,737,120,852,296,face_with_mask,0,0,1,0
10697,6051.jpg,278,84,334,155,face_no_mask,1,0,0,0
13830,5260.jpg,333,107,534,414,face_with_mask,0,0,1,0
6520,6320.jpg,241,326,371,484,face_no_mask,1,0,0,0
590,3863.png,0,161,40,273,face_with_mask,0,0,1,0
4019,3859.png,827,38,1027,248,face_with_mask,0,0,1,0
13838,3644.png,276,71,329,143,face_with_mask,0,0,1,0
3505,4122.png,730,57,924,237,face_other_covering,0,1,0,1
4169,4236.png,332,2,453,190,face_with_mask,0,0,1,0
1859,5064.jpg,977,32,1363,591,face_with_mask,0,0,1,0
3107,2422.png,36,161,68,203,face_with_mask,0,0,1,0
7252,5331.jpg,418,183,636,433,face_other_covering,0,1,0,1
4976,2517.png,137,57,331,349,face_other_covering,0,1,0,1
1624,2639.png,158,1,899,619,face_with_mask,0,0,1,0
9781,3409.png,346,4,425,103,face_with_mask,0,0,1,0
14185,5121.jpg,251,14,352,142,face_with_mask,0,0,1,0
10598,3874.png,279,60,586,503,face_other_covering,0,1,0,1
14356,3592.png,358,0,598,234,face_with_mask,0,0,1,0
13711,2856.png,198,6,521,464,face_other_covering,0,1,0,1
3634,3648.png,157,273,437,655,face_with_mask,0,0,1,0
13065,4795.png,344,8,681,427,face_no_mask,1,0,0,0
6391,4766.png,341,307,391,372,face_with_mask,0,0,1,0
723,3226.png,102,33,515,597,face_with_mask,0,0,1,0
10544,4124.png,109,71,429,454,face_with_mask,0,0,1,0
280,3082.png,377,49,453,132,face_with_mask,0,0,1,0
1361,2496.png,357,26,469,192,face_with_mask,0,0,1,0
12641,2077.jpg,460,104,675,355,face_with_mask,0,0,1,0
7523,3128.png,379,112,524,323,face_with_mask,0,0,1,0
6065,5366.jpg,353,106,632,408,face_other_covering,0,1,0,1
8908,6398.jpg,792,0,1092,372,face_with_mask,0,0,1,0
1697,6161.jpg,48,34,317,356,face_other_covering,0,1,0,1
8218,2404.png,16,419,69,474,face_other_covering,0,1,0,1
13885,3316.png,246,121,498,446,face_other_covering,0,1,0,1
3981,1967.jpg,539,74,631,177,face_no_mask,1,0,0,0
2165,6248.jpg,309,41,399,153,face_other_covering,0,1,0,1
5330,4647.png,315,270,373,335,face_with_mask,0,0,1,0
10232,4886.png,119,73,354,389,face_with_mask,0,0,1,0
13258,3510.png,86,58,216,246,face_with_mask,0,0,1,0
11911,5003.jpg,304,9,470,230,face_with_mask,0,0,1,0
1055,5915.jpg,75,29,354,436,face_no_mask,1,0,0,0
1078,2471.png,156,29,270,177,face_with_mask,0,0,1,0
13337,5037.jpg,516,62,640,234,face_with_mask,0,0,1,0
3601,5224.jpg,1221,515,2303,1721,face_with_mask,0,0,1,0
12810,1810.jpg,363,189,478,343,face_with_mask,0,0,1,0
3920,3649.png,444,14,575,207,face_with_mask,0,0,1,0
7392,2419.png,217,292,243,323,face_with_mask,0,0,1,0
4566,5636.jpg,340,3,671,438,face_no_mask,1,0,0,0
969,6364.jpg,1690,561,1896,816,face_no_mask,1,0,0,0
4486,6297.jpg,71,75,138,170,face_no_mask,1,0,0,0
10834,5689.jpg,445,1,694,344,face_with_mask,0,0,1,0
9917,4298.png,106,320,172,419,face_with_mask,0,0,1,0
2561,3572.png,356,268,379,289,face_no_mask,1,0,0,0
12578,1949.jpg,358,96,474,250,face_with_mask,0,0,1,0
11307,3468.png,97,146,141,196,face_with_mask,0,0,1,0
12016,4889.png,76,8,612,607,face_with_mask,0,0,1,0
10307,3684.png,14,208,35,239,face_no_mask,1,0,0,0
13726,2997.png,399,195,453,259,face_with_mask,0,0,1,0
717,3371.png,438,206,506,285,face_with_mask,0,0,1,0
12484,5272.jpg,67,3,255,227,face_other_covering,0,1,0,1
5181,5485.jpg,72,67,683,798,face_no_mask,1,0,0,0
7972,4721.png,240,211,502,605,face_other_covering,0,1,0,1
13931,3449.png,203,20,401,289,face_with_mask,0,0,1,0
9916,4298.png,414,48,474,130,face_with_mask,0,0,1,0
3416,2345.png,158,30,408,391,face_with_mask,0,0,1,0
6361,6134.jpg,416,2,616,236,face_other_covering,0,1,0,1
6563,2090.jpg,327,60,480,236,face_with_mask,0,0,1,0
5208,5885.jpg,697,106,841,270,face_no_mask,1,0,0,0
3212,5095.jpg,155,222,232,326,face_other_covering,0,1,0,1
291,3082.png,621,106,692,185,face_with_mask,0,0,1,0
11344,4943.png,273,170,341,258,face_with_mask,0,0,1,0
6925,1835.jpg,656,78,764,211,face_with_mask,0,0,1,0
7177,3353.png,27,306,101,395,face_no_mask,1,0,0,0
9541,4727.png,400,73,663,399,face_with_mask,0,0,1,0
13246,6012.jpg,173,54,266,161,face_no_mask,1,0,0,0
13087,3763.png,18,3,356,378,face_with_mask,0,0,1,0
5880,5863.jpg,751,21,948,265,face_no_mask,1,0,0,0
13103,3308.png,402,108,426,138,face_no_mask,1,0,0,0
12025,2670.png,165,57,316,231,face_with_mask,0,0,1,0
5234,4664.png,226,150,285,215,face_with_mask,0,0,1,0
1333,6107.png,1016,59,1204,308,face_no_mask,1,0,0,0
4127,3551.png,210,69,318,212,face_with_mask_incorrect,0,0,0,1
5216,3361.png,80,111,103,139,face_no_mask,1,0,0,0
13360,2685.png,319,210,527,535,face_with_mask,0,0,1,0
12201,2810.png,339,185,454,280,face_with_mask,0,0,1,0
9775,6066.jpg,265,77,372,203,face_no_mask,1,0,0,0
12864,3770.png,508,109,564,175,face_with_mask,0,0,1,0
45,3939.png,518,106,563,174,face_with_mask_incorrect,0,0,0,1
1884,4913.png,103,10,468,418,face_with_mask,0,0,1,0
5872,2297.png,383,52,582,306,face_with_mask,0,0,1,0
10737,3735.png,212,162,292,277,face_with_mask_incorrect,0,0,0,1
4659,2938.png,327,31,555,318,face_with_mask,0,0,1,0
1201,1834.jpg,472,52,633,286,face_other_covering,0,1,0,1
9676,3404.png,295,242,402,378,face_with_mask,0,0,1,0
11098,2112.jpg,386,39,426,84,face_with_mask,0,0,1,0
13936,4191.png,75,22,329,354,face_with_mask,0,0,1,0
2531,5067.jpg,62,74,439,529,face_with_mask,0,0,1,0
914,2293.png,680,340,759,427,face_with_mask,0,0,1,0
2115,3579.png,207,143,272,228,face_with_mask,0,0,1,0
3175,4565.png,419,144,497,260,face_with_mask,0,0,1,0
474,1990.jpg,0,371,46,533,face_with_mask,0,0,1,0
10762,4013.png,818,147,840,167,face_with_mask,0,0,1,0
8035,6267.jpg,384,169,413,300,face_no_mask,1,0,0,0
378,4406.png,4,146,258,481,face_with_mask,0,0,1,0
10281,4751.png,270,78,566,438,face_with_mask,0,0,1,0
9423,2852.png,101,17,355,381,face_with_mask,0,0,1,0
12174,1991.jpg,1086,1352,1470,1791,face_with_mask,0,0,1,0
3559,5162.jpg,360,141,503,293,face_with_mask,0,0,1,0
4064,3519.png,209,72,365,309,face_other_covering,0,1,0,1
9322,6416.png,96,65,363,455,face_other_covering,0,1,0,1
11195,2812.png,98,58,125,89,face_no_mask,1,0,0,0
7743,2666.png,751,202,829,299,face_with_mask,0,0,1,0
4698,3420.png,250,111,326,203,face_with_mask,0,0,1,0
12596,6007.jpg,529,164,609,273,face_no_mask,1,0,0,0
458,2433.png,30,204,169,367,face_with_mask,0,0,1,0
13694,6344.jpg,783,258,912,421,face_no_mask,1,0,0,0
14869,2044.jpg,166,47,255,150,face_with_mask,0,0,1,0
14406,3741.png,57,58,181,182,face_with_mask,0,0,1,0
1019,4055.png,41,4,400,534,face_other_covering,0,1,0,1
9154,2437.png,573,114,689,265,face_with_mask,0,0,1,0
4083,5757.jpg,1319,234,1561,541,face_no_mask,1,0,0,0
8463,2367.png,215,48,316,204,face_with_mask,0,0,1,0
14967,4362.png,152,46,282,183,face_with_mask,0,0,1,0
3696,2185.png,828,122,934,228,face_with_mask,0,0,1,0
6140,4207.png,392,108,461,198,face_with_mask,0,0,1,0
8619,5673.jpg,402,211,572,461,face_no_mask,1,0,0,0
12738,5183.jpg,549,207,631,292,face_other_covering,0,1,0,1
1456,6278.jpg,238,59,368,186,face_no_mask,1,0,0,0
12710,4891.png,215,9,518,437,face_other_covering,0,1,0,1
3021,3338.png,97,17,435,490,face_with_mask,0,0,1,0
8695,2811.png,496,338,517,367,face_other_covering,0,1,0,1
2560,3572.png,282,248,308,274,face_no_mask,1,0,0,0
12350,5068.jpg,294,41,459,223,face_with_mask,0,0,1,0
8215,2404.png,156,239,255,335,face_other_covering,0,1,0,1
492,2346.png,127,26,442,479,face_other_covering,0,1,0,1
3085,5179.jpg,812,52,848,95,face_no_mask,1,0,0,0
